epoch,out_0,out_1,step,train_loss
0,0.24116577208042145,0.18760477006435394,1,0.6599859595298767
1,0.2309839129447937,0.2023857682943344,3,0.6361884474754333
2,0.2454381138086319,0.21947017312049866,5,0.6092268824577332
3,0.2618587017059326,0.23716548085212708,7,0.5819165706634521
4,0.2785867154598236,0.254849910736084,9,0.5552486777305603
5,0.2950400114059448,0.2721785008907318,11,0.52972412109375
6,0.3109254240989685,0.28892672061920166,13,0.5056251883506775
7,0.3260754346847534,0.3049415946006775,15,0.48310619592666626
8,0.34039393067359924,0.32012253999710083,17,0.46223339438438416
9,0.3538317382335663,0.33440935611724854,19,0.44301092624664307
10,0.36637282371520996,0.3477742373943329,21,0.42539840936660767
11,0.3780249357223511,0.3602147698402405,23,0.40932515263557434
12,0.38881218433380127,0.371747761964798,25,0.39470091462135315
13,0.39877015352249146,0.38240426778793335,27,0.38142451643943787
14,0.40794140100479126,0.3922247290611267,29,0.3693907856941223
15,0.41637253761291504,0.40125572681427,31,0.35849469900131226
16,0.42411190271377563,0.4095468521118164,33,0.3486349284648895
17,0.43120816349983215,0.41714924573898315,35,0.33971503376960754
18,0.43770840764045715,0.4241132438182831,37,0.33164551854133606
19,0.4436582922935486,0.4304879605770111,39,0.3243439197540283
20,0.44910135865211487,0.43632030487060547,41,0.31773480772972107
21,0.4540783166885376,0.4416547119617462,43,0.31174951791763306
22,0.4586273729801178,0.44653263688087463,45,0.30632615089416504
23,0.462784081697464,0.45099300146102905,47,0.30140870809555054
24,0.4665815830230713,0.45507150888442993,49,0.29694706201553345
25,0.47005024552345276,0.4588012099266052,51,0.2928961515426636
26,0.4732181131839752,0.46221280097961426,53,0.289215087890625
27,0.4761112332344055,0.4653339385986328,55,0.2858678102493286
28,0.47875308990478516,0.4681902825832367,57,0.28282156586647034
29,0.4811656177043915,0.47080516815185547,59,0.2800471782684326
30,0.4833686947822571,0.47319984436035156,61,0.2775184214115143
31,0.48538047075271606,0.4753938615322113,63,0.2752115726470947
32,0.4872176945209503,0.477404922246933,65,0.27310559153556824
33,0.4888956546783447,0.4792490005493164,67,0.2711816132068634
34,0.49042806029319763,0.48094093799591064,69,0.269422322511673
35,0.49182772636413574,0.48249393701553345,71,0.2678125500679016
36,0.4931061267852783,0.48392024636268616,73,0.2663383483886719
37,0.4942738115787506,0.4852307438850403,75,0.26498740911483765
38,0.49534034729003906,0.4864356517791748,77,0.2637483477592468
39,0.4963146150112152,0.48754385113716125,79,0.2626113295555115
40,0.49720436334609985,0.48856380581855774,81,0.26156702637672424
41,0.49801692366600037,0.489502876996994,83,0.2606073021888733
42,0.49875885248184204,0.4903680980205536,85,0.2597246468067169
43,0.49943625926971436,0.49116548895835876,87,0.2589125335216522
44,0.5000545978546143,0.49190083146095276,89,0.25816479325294495
45,0.5006187558174133,0.49257925152778625,91,0.2574758529663086
46,0.5011334419250488,0.4932054281234741,93,0.2568407356739044
47,0.5016025900840759,0.4937836229801178,95,0.25625506043434143
48,0.5020301938056946,0.49431777000427246,97,0.2557145357131958
49,0.5024194717407227,0.49481138586997986,99,0.25521552562713623
50,0.5027738809585571,0.4952676594257355,101,0.25475478172302246
51,0.5030959844589233,0.49568966031074524,103,0.25432896614074707
52,0.5033885836601257,0.49608004093170166,105,0.2539353370666504
53,0.5036540627479553,0.49644121527671814,107,0.25357142090797424
54,0.5038945078849792,0.49677544832229614,109,0.25323498249053955
55,0.5041120648384094,0.49708491563796997,111,0.2529235780239105
56,0.5043084621429443,0.4973714053630829,113,0.25263547897338867
57,0.5044854283332825,0.49763670563697815,115,0.2523689270019531
58,0.5046445727348328,0.49788233637809753,117,0.2521221339702606
59,0.5047871470451355,0.4981098771095276,119,0.25189369916915894
60,0.5049145221710205,0.4983205199241638,121,0.251682311296463
61,0.5050280690193176,0.49851563572883606,123,0.251486599445343
62,0.5051286220550537,0.49869632720947266,125,0.25130537152290344
63,0.5052172541618347,0.4988635778427124,127,0.25113770365715027
64,0.5052949786186218,0.49901846051216125,129,0.2509825527667999
65,0.5053626298904419,0.4991617798805237,131,0.2508389353752136
66,0.505420982837677,0.49929437041282654,133,0.25070610642433167
67,0.5054707527160645,0.4994170367717743,135,0.250583291053772
68,0.505512535572052,0.4995304048061371,137,0.25046977400779724
69,0.505547046661377,0.4996351897716522,139,0.25036492943763733
70,0.5055748820304871,0.4997318983078003,141,0.25026819109916687
71,0.5055964589118958,0.4998212158679962,143,0.25017887353897095
72,0.505612313747406,0.4999036192893982,145,0.2500964105129242
73,0.505622923374176,0.49997949600219727,147,0.2500205338001251
74,0.5056286454200745,0.5000494122505188,149,0.2499506026506424
75,0.5056298971176147,0.5001137256622314,151,0.24988628923892975
76,0.5056270360946655,0.5001727938652039,153,0.24982725083827972
77,0.505620539188385,0.5002269744873047,155,0.2497730851173401
